Academics Plus School District,12345,default, Grade One Reading Comprehension ,2014-2015,,74,52
Academics Plus School District,12345,default, Attendance Rate Combined ,2016-2017,,95.9 %,94.4 %
Academics Plus School District,12345,default, Attendance Rate for Targeted Acheivement Gap Group ,2014-2015,,96.8 %,94.6 %
Academics Plus School District,12345,default, Attendance Rate for Targeted Acheivement Gap Group ,2015-2016,,97.3 %,94.7 %
Academics Plus School District,12345,default, Attendance Rate for Targeted Acheivement Gap Group ,2016-2017,,95.8 %,94.7 %
Academics Plus School District,12345,default, Attendance Rate African American ,2014-2015,,96.6 %,94.5 %
Academics Plus School District,12345,default, Attendance Rate African American ,2015-2016,,96.6 %,94.3 %
Academics Plus School District,12345,default, Attendance Rate African American ,2016-2017,,95.5 %,94.4 %
Academics Plus School District,12345,default, Attendance Rate Hispanic ,2014-2015,,96.1 %,95.0 %
Academics Plus School District,12345,default, Attendance Rate Hispanic ,2015-2016,,95.9 %,95.0 %
Academics Plus School District,12345,default, Attendance Rate Hispanic ,2016-2017,,95.4 %,94.8 %
Academics Plus School District,12345,default, Attendance Rate Caucasian ,2014-2015,,96.7 %,94.2 %
Academics Plus School District,12345,default, Attendance Rate Caucasian ,2015-2016,,97.2 %,94.3 %
Academics Plus School District,12345,default, Attendance Rate Caucasian ,2016-2017,,95.9 %,94.4 %
Academics Plus School District,12345,default, Attendance Rate Economically Disadvantaged ,2014-2015,,96.6 %,94.8 %
Academics Plus School District,12345,default, Attendance Rate Economically Disadvantaged ,2015-2016,,97.0 %,94.9 %
Academics Plus School District,12345,default, Attendance Rate Economically Disadvantaged ,2016-2017,,95.8 %,95.0 %
Academics Plus School District,12345,default, Attendance Rate Students with Disabilities ,2014-2015,,97.2 %,94.1 %
Academics Plus School District,12345,default, Attendance Rate Students with Disabilities ,2015-2016,,97.8 %,94.3 %
Academics Plus School District,12345,default, Attendance Rate Students with Disabilities ,2016-2017,,95.6 %,94.2 %
Academics Plus School District,12345,default, Attendance Rate Limited English Proficient ,2014-2015,,94.3 %,95.4 %
Academics Plus School District,12345,default, Attendance Rate Limited English Proficient ,2015-2016,,97.7 %,95.3 %
Academics Plus School District,12345,default, Attendance Rate Limited English Proficient ,2016-2017,,100.0 %,94.9 %
Academics Plus School District,12345,default,Dropout Rate ,2014-2015,,,
Academics Plus School District,12345,default,Dropout Rate ,2015-2016,,,
Academics Plus School District,12345,default,Dropout Rate ,2016-2017,,,
Academics Plus School District,12345,default, Dropout Rate ,2014-2015,,1.68 %,2.25 %
Academics Plus School District,12345,default, Dropout Rate ,2015-2016,,0.35 %,2.32 %
Academics Plus School District,12345,default, Dropout Rate ,2016-2017,,0.65 %,2.32 %
Academics Plus School District,12345,default,Four-Year Graduation Rate ,2014-2015,,,
Academics Plus School District,12345,default,Four-Year Graduation Rate ,2015-2016,,,
Academics Plus School District,12345,default,Four-Year Graduation Rate ,2016-2017,,,
Academics Plus School District,12345,default, Four-Year Graduation Rate Combined ,2014-2015,,96.8 %,84.9 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Combined ,2015-2016,,96.7 %,87.0 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Combined ,2016-2017,,100.0 %,88.0 %
Academics Plus School District,12345,default, Four-Year Graduation Rate for Targeted Acheivement Gap Group ,2014-2015,,RV,81.9 %
Academics Plus School District,12345,default, Four-Year Graduation Rate for Targeted Acheivement Gap Group ,2015-2016,,RV,83.8 %
Academics Plus School District,12345,default, Four-Year Graduation Rate for Targeted Acheivement Gap Group ,2016-2017,,RV,84.8 %
Academics Plus School District,12345,default, Four-Year Graduation Rate African American ,2014-2015,,RV,77.5 %
Academics Plus School District,12345,default, Four-Year Graduation Rate African American ,2015-2016,,RV,81.5 %
Academics Plus School District,12345,default, Four-Year Graduation Rate African American ,2016-2017,,RV,83.4 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Hispanic ,2014-2015,,RV,84.5 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Hispanic ,2015-2016,,RV,85.7 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Hispanic ,2016-2017,,RV,85.7 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Caucasian ,2014-2015,,95.2 %,87.4 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Caucasian ,2015-2016,,95.2 %,89.2 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Caucasian ,2016-2017,,100.0 %,90.0 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Economically Disadvantaged ,2014-2015,,RV,81.7 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Economically Disadvantaged ,2015-2016,,RV,83.8 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Economically Disadvantaged ,2016-2017,,RV,84.9 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Students with Disabilities ,2014-2015,,RV,81.9 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Students with Disabilities ,2015-2016,,RV,84.3 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Students with Disabilities ,2016-2017,,RV,83.8 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Limited English Proficient ,2014-2015,,RV,85.9 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Limited English Proficient ,2015-2016,,RV,85.7 %
Academics Plus School District,12345,default, Four-Year Graduation Rate Limited English Proficient ,2016-2017,,RV,82.1 %
Academics Plus School District,12345,default,Five-Year Graduation Rate ,2014-2015,,,
Academics Plus School District,12345,default,Five-Year Graduation Rate ,2015-2016,,,
Academics Plus School District,12345,default,Five-Year Graduation Rate ,2016-2017,,,
Academics Plus School District,12345,default, Five-Year Graduation Rate Combined ,2014-2015,,---,---
Academics Plus School District,12345,default, Five-Year Graduation Rate Combined ,2015-2016,,---,---
Academics Plus School District,12345,default, Five-Year Graduation Rate Combined ,2016-2017,,90.6 %,87.4 %
Academics Plus School District,12345,default, Five-Year Graduation Rate for Targeted Acheivement Gap Group ,2014-2015,,---,---
Academics Plus School District,12345,default, Five-Year Graduation Rate for Targeted Acheivement Gap Group ,2015-2016,,---,---
Academics Plus School District,12345,default, Five-Year Graduation Rate for Targeted Acheivement Gap Group ,2016-2017,,RV,84.4 %
Academics Plus School District,12345,default, Five-Year Graduation Rate African American ,2014-2015,,---,---
Academics Plus School District,12345,default, Five-Year Graduation Rate African American ,2015-2016,,---,---
Academics Plus School District,12345,default, Five-Year Graduation Rate African American ,2016-2017,,RV,82.1 %
Academics Plus School District,12345,default, Five-Year Graduation Rate Hispanic ,2014-2015,,---,---
Academics Plus School District,12345,default, Five-Year Graduation Rate Hispanic ,2015-2016,,---,---
Academics Plus School District,12345,default, Five-Year Graduation Rate Hispanic ,2016-2017,,RV,86.4 %
Academics Plus School District,12345,default, Five-Year Graduation Rate Caucasian ,2014-2015,,---,---
Academics Plus School District,12345,default, Five-Year Graduation Rate Caucasian ,2015-2016,,---,---
Academics Plus School District,12345,default, Five-Year Graduation Rate Caucasian ,2016-2017,,90.9 %,89.4 %
Academics Plus School District,12345,default, Five-Year Graduation Rate Economically Disadvantaged ,2014-2015,,---,---
Academics Plus School District,12345,default, Five-Year Graduation Rate Economically Disadvantaged ,2015-2016,,---,---
Academics Plus School District,12345,default, Five-Year Graduation Rate Economically Disadvantaged ,2016-2017,,RV,84.3 %
Academics Plus School District,12345,default, Five-Year Graduation Rate Students with Disabilities ,2014-2015,,---,---
Academics Plus School District,12345,default, Five-Year Graduation Rate Students with Disabilities ,2015-2016,,---,---
Academics Plus School District,12345,default, Five-Year Graduation Rate Students with Disabilities ,2016-2017,,RV,84.8 %
Academics Plus School District,12345,default, Five-Year Graduation Rate Limited English Proficient ,2014-2015,,---,---
Academics Plus School District,12345,default, Five-Year Graduation Rate Limited English Proficient ,2015-2016,,---,---
Academics Plus School District,12345,default, Five-Year Graduation Rate Limited English Proficient ,2016-2017,,RV,83.9 %
Academics Plus School District,12345,default, * Grade Inflation Rate (ACT) ,2014-2015,,22.20 %,32.80 %
Academics Plus School District,12345,default, * Grade Inflation Rate (ACT) ,2015-2016,,35.30 %,36.40 %
Academics Plus School District,12345,default, * Grade Inflation Rate (ACT) ,2016-2017,,---,---
Academics Plus School District,12345,default, College Remediation Rate ,2014-2015,,48.3 %,54.2 %
Academics Plus School District,12345,default, College Remediation Rate ,2015-2016,,50.0 %,56.9 %
Academics Plus School District,12345,default, College Remediation Rate ,2016-2017,,61.5 %,61.8 %
Academics Plus School District,12345,default,Enrollment ,2014-2015,,,
Academics Plus School District,12345,default,Enrollment ,2015-2016,,,
Academics Plus School District,12345,default,Enrollment ,2016-2017,,,
Academics Plus School District,12345,default, October 1 Enrollment ,2014-2015,,749,476,083
Academics Plus School District,12345,default, October 1 Enrollment ,2015-2016,,853,476,049
Academics Plus School District,12345,default, October 1 Enrollment ,2016-2017,,1,099,477,268
Academics Plus School District,12345,default, Discipline Policies Distributed to Parents ,2014-2015,,100 % ,100 % 
Academics Plus School District,12345,default, Discipline Policies Distributed to Parents ,2015-2016,,100 % ,100 % 
Academics Plus School District,12345,default, Discipline Policies Distributed to Parents ,2016-2017,,100 % ,100 % 
Academics Plus School District,12345,default, Discipline Training Provided to Staff ,2014-2015,,100 % ,100 % 
Academics Plus School District,12345,default, Discipline Training Provided to Staff ,2015-2016,,100 % ,100 % 
Academics Plus School District,12345,default, Discipline Training Provided to Staff ,2016-2017,,100 % ,100 % 
Academics Plus School District,12345,default, Parental Involvement Plan Adopted ,2014-2015,,100 % ,100 % 
Academics Plus School District,12345,default, Parental Involvement Plan Adopted ,2015-2016,,100 % ,100 % 
Academics Plus School District,12345,default, Parental Involvement Plan Adopted ,2016-2017,,100 % ,100 % 
Academics Plus School District,12345,default, District Alternative Learning Environment Compliance ,2014-2015,,Y,93.31 %
Academics Plus School District,12345,default, District Alternative Learning Environment Compliance ,2015-2016,,Y,99.61 %
Academics Plus School District,12345,default, District Alternative Learning Environment Compliance ,2016-2017,,Y,100.00 %
Academics Plus School District,12345,default, Expulsions ,2014-2015,,---,480
Academics Plus School District,12345,default, Expulsions ,2015-2016,,---,454
Academics Plus School District,12345,default, Expulsions ,2016-2017,,---,570
Academics Plus School District,12345,default, Weapons Incidents ,2014-2015,,---,799
Academics Plus School District,12345,default, Weapons Incidents ,2015-2016,,---,823
Academics Plus School District,12345,default, Weapons Incidents ,2016-2017,,2,878
Academics Plus School District,12345,default, Staff Assaults ,2014-2015,,1,664
Academics Plus School District,12345,default, Staff Assaults ,2015-2016,,---,657
Academics Plus School District,12345,default, Staff Assaults ,2016-2017,,1,690
Academics Plus School District,12345,default, Student Assaults ,2014-2015,,1,2,562
Academics Plus School District,12345,default, Student Assaults ,2015-2016,,1,2,511
Academics Plus School District,12345,default, Student Assaults ,2016-2017,,2,2,700
Academics Plus School District,12345,default, Number of Students Retained at Grade 1 ,2014-2015,,0,1,313
Academics Plus School District,12345,default, Number of Students Retained at Grade 1 ,2015-2016,,2,1,130
Academics Plus School District,12345,default, Number of Students Retained at Grade 1 ,2016-2017,,3,1,106
Academics Plus School District,12345,default, Percent of Students Retained at Grade 1 ,2014-2015,,0.00 %,3.00 %
Academics Plus School District,12345,default, Percent of Students Retained at Grade 1 ,2015-2016,,2.00 %,3.00 %
Academics Plus School District,12345,default, Percent of Students Retained at Grade 1 ,2016-2017,,2.00 %,3.00 %
Academics Plus School District,12345,default, Number of Students Retained at Grade 2 ,2014-2015,,0,511
Academics Plus School District,12345,default, Number of Students Retained at Grade 2 ,2015-2016,,0,486
Academics Plus School District,12345,default, Number of Students Retained at Grade 2 ,2016-2017,,0,398
Academics Plus School District,12345,default, Percent of Students Retained at Grade 2 ,2014-2015,,0.00 %,1.00 %
Academics Plus School District,12345,default, Percent of Students Retained at Grade 2 ,2015-2016,,0.00 %,1.00 %
Academics Plus School District,12345,default, Percent of Students Retained at Grade 2 ,2016-2017,,0.00 %,1.00 %
Academics Plus School District,12345,default, Number of Students Retained at Grade 3 ,2014-2015,,0,207
Academics Plus School District,12345,default, Number of Students Retained at Grade 3 ,2015-2016,,0,196
Academics Plus School District,12345,default, Number of Students Retained at Grade 3 ,2016-2017,,1,169
Academics Plus School District,12345,default, Percent of Students Retained at Grade 3 ,2014-2015,,0.00 %,1.00 %
Academics Plus School District,12345,default, Percent of Students Retained at Grade 3 ,2015-2016,,0.00 %,1.00 %
Academics Plus School District,12345,default, Percent of Students Retained at Grade 3 ,2016-2017,,1.00 %,0.00 %
Academics Plus School District,12345,default, Number of Students Retained at Grade 4 ,2014-2015,,0,131
Academics Plus School District,12345,default, Number of Students Retained at Grade 4 ,2015-2016,,0,114
Academics Plus School District,12345,default, Number of Students Retained at Grade 4 ,2016-2017,,0,77
Academics Plus School District,12345,default, Percent of Students Retained at Grade 4 ,2014-2015,,0.00 %,0.00 %
Academics Plus School District,12345,default, Percent of Students Retained at Grade 4 ,2015-2016,,0.00 %,0.00 %
Academics Plus School District,12345,default, Percent of Students Retained at Grade 4 ,2016-2017,,0.00 %,0.00 %
Academics Plus School District,12345,default, Number of Students Retained at Grade 5 ,2014-2015,,0,108
Academics Plus School District,12345,default, Number of Students Retained at Grade 5 ,2015-2016,,0,112
Academics Plus School District,12345,default, Number of Students Retained at Grade 5 ,2016-2017,,1,62
Academics Plus School District,12345,default, Percent of Students Retained at Grade 5 ,2014-2015,,0.00 %,0.00 %
Academics Plus School District,12345,default, Percent of Students Retained at Grade 5 ,2015-2016,,0.00 %,0.00 %
Academics Plus School District,12345,default, Percent of Students Retained at Grade 5 ,2016-2017,,1.00 %,0.00 %
Academics Plus School District,12345,default, Number of Students Retained at Grade 6 ,2014-2015,,0,142
Academics Plus School District,12345,default, Number of Students Retained at Grade 6 ,2015-2016,,0,113
Academics Plus School District,12345,default, Number of Students Retained at Grade 6 ,2016-2017,,0,116
Academics Plus School District,12345,default, Percent of Students Retained at Grade 6 ,2014-2015,,0.00 %,0.00 %
Academics Plus School District,12345,default, Percent of Students Retained at Grade 6 ,2015-2016,,0.00 %,0.00 %
Academics Plus School District,12345,default, Percent of Students Retained at Grade 6 ,2016-2017,,0.00 %,0.00 %
Academics Plus School District,12345,default, Number of Students Retained at Grade 7 ,2014-2015,,1,316
Academics Plus School District,12345,default, Number of Students Retained at Grade 7 ,2015-2016,,0,255
Academics Plus School District,12345,default, Number of Students Retained at Grade 7 ,2016-2017,,0,253
Academics Plus School District,12345,default, Percent of Students Retained at Grade 7 ,2014-2015,,2.00 %,1.00 %
Academics Plus School District,12345,default, Percent of Students Retained at Grade 7 ,2015-2016,,0.00 %,1.00 %
Academics Plus School District,12345,default, Percent of Students Retained at Grade 7 ,2016-2017,,0.00 %,1.00 %
Academics Plus School District,12345,default, Number of Students Retained at Grade 8 ,2014-2015,,0,395
Academics Plus School District,12345,default, Number of Students Retained at Grade 8 ,2015-2016,,0,242
Academics Plus School District,12345,default, Number of Students Retained at Grade 8 ,2016-2017,,0,230
Academics Plus School District,12345,default, Percent of Students Retained at Grade 8 ,2014-2015,,0.00 %,1.00 %
Academics Plus School District,12345,default, Percent of Students Retained at Grade 8 ,2015-2016,,0.00 %,1.00 %
Academics Plus School District,12345,default, Percent of Students Retained at Grade 8 ,2016-2017,,0.00 %,1.00 %
Academics Plus School District,12345,default, % Teachers Completely Certified (Licensed) ,2014-2015,,100.0 %,98.8 %
Academics Plus School District,12345,default, % Teachers Completely Certified (Licensed) ,2015-2016,,100.0 %,99.5 %
Academics Plus School District,12345,default, % Teachers Completely Certified (Licensed) ,2016-2017,,100.0 %,99.7 %
Academics Plus School District,12345,default, % Teachers with Emergency / Provisional Credentials ,2014-2015,,0.0 %,0.4 %
Academics Plus School District,12345,default, % Teachers with Emergency / Provisional Credentials ,2015-2016,,0.0 %,0.2 %
Academics Plus School District,12345,default, % Teachers with Emergency / Provisional Credentials ,2016-2017,,0.0 %,0.1 %
Academics Plus School District,12345,default, % Teachers with Bachelor's Degree ,2014-2015,,65.0 %,56.0 %
Academics Plus School District,12345,default, % Teachers with Bachelor's Degree ,2015-2016,,60.0 %,55.0 %
Academics Plus School District,12345,default, % Teachers with Bachelor's Degree ,2016-2017,,68.0 %,54.0 %
Academics Plus School District,12345,default, % Teachers with Master's Degree ,2014-2015,,29.0 %,41.0 %
Academics Plus School District,12345,default, % Teachers with Master's Degree ,2015-2016,,33.0 %,41.0 %
Academics Plus School District,12345,default, % Teachers with Master's Degree ,2016-2017,,21.0 %,42.0 %
Academics Plus School District,12345,default, % Teachers with Advanced Degree ,2014-2015,,0.0 %,1.0 %
Academics Plus School District,12345,default, % Teachers with Advanced Degree ,2015-2016,,0.0 %,1.0 %
Academics Plus School District,12345,default, % Teachers with Advanced Degree ,2016-2017,,0.0 %,1.0 %
Academics Plus School District,12345,default,HQ Teachers in High Poverty Schools ,2014-2015,,,
Academics Plus School District,12345,default,HQ Teachers in High Poverty Schools ,2015-2016,,,
Academics Plus School District,12345,default,HQ Teachers in High Poverty Schools ,2016-2017,,,
Academics Plus School District,12345,default, % Core Academic Classes not Taught by HQ Teachers ,2014-2015,,0.0 %,1.4 %
Academics Plus School District,12345,default, % Core Academic Classes not Taught by HQ Teachers ,2015-2016,,0.0 %,2.0 %
Academics Plus School District,12345,default, % Core Academic Classes not Taught by HQ Teachers ,2016-2017,,---,---
Academics Plus School District,12345,default,HQ Teachers in Low Poverty Schools ,2014-2015,,,
Academics Plus School District,12345,default,HQ Teachers in Low Poverty Schools ,2015-2016,,,
Academics Plus School District,12345,default,HQ Teachers in Low Poverty Schools ,2016-2017,,,
Academics Plus School District,12345,default, % Core Academic Classes not Taught by HQ Teachers ,2014-2015,,0.0 %,0.7 %
Academics Plus School District,12345,default, % Core Academic Classes not Taught by HQ Teachers ,2015-2016,,0.0 %,0.7 %
Academics Plus School District,12345,default, % Core Academic Classes not Taught by HQ Teachers ,2016-2017,,---,---
Academics Plus School District,12345,default,HQ Teachers Aggregate of All Economic Levels ,2014-2015,,,
Academics Plus School District,12345,default,HQ Teachers Aggregate of All Economic Levels ,2015-2016,,,
Academics Plus School District,12345,default,HQ Teachers Aggregate of All Economic Levels ,2016-2017,,,
Academics Plus School District,12345,default, % Core Academic Classes not Taught by HQ Teachers ,2014-2015,,0.0 %,0.9 %
Academics Plus School District,12345,default, % Core Academic Classes not Taught by HQ Teachers ,2015-2016,,0.0 %,1.2 %
Academics Plus School District,12345,default, % Core Academic Classes not Taught by HQ Teachers ,2016-2017,,---,---
Academics Plus School District,12345,default, Percent of Students School Choice ,2014-2015,,---,2.59 %
Academics Plus School District,12345,default, Percent of Students School Choice ,2015-2016,,---,2.76 %
Academics Plus School District,12345,default, Percent of Students School Choice ,2016-2017,,---,2.88 %
Academics Plus School District,12345,default, Mills Voted ,2014-2015,,0.0,37.5
Academics Plus School District,12345,default, Mills Voted ,2015-2016,,0.0,37.7
Academics Plus School District,12345,default, Mills Voted ,2016-2017,,0.0,37.9
Academics Plus School District,12345,default, Expenditure Per Student ,2014-2015,,$7,507,$9,642
Academics Plus School District,12345,default, Expenditure Per Student ,2015-2016,,$7,453,$9,701
Academics Plus School District,12345,default, Expenditure Per Student ,2016-2017,,$7,732,$9,807
Academics Plus School District,12345,default, Average Teacher Salary ,2014-2015,,$43,174,$50,978
Academics Plus School District,12345,default, Average Teacher Salary ,2015-2016,,$44,262,$51,466
Academics Plus School District,12345,default, Average Teacher Salary ,2016-2017,,$41,002,$49,104
Academics Plus School District,12345,default, Total Expenditures ,2014-2015,,$5,713,746,$5,203,284,363
Academics Plus School District,12345,default, Total Expenditures ,2015-2016,,$6,821,851,$5,271,887,226
Academics Plus School District,12345,default, Total Expenditures ,2016-2017,,$9,227,131,$5,323,403,234
Academics Plus School District,12345,default, Instructional Expenditures ,2014-2015,,$2,766,727,$2,529,267,639
Academics Plus School District,12345,default, Instructional Expenditures ,2015-2016,,$2,947,587,$2,547,814,529
Academics Plus School District,12345,default, Instructional Expenditures ,2016-2017,,$3,751,593,$2,578,606,666
Academics Plus School District,12345,default, Administrative Expenditures ,2014-2015,,$627,724,$333,081,526
Academics Plus School District,12345,default, Administrative Expenditures ,2015-2016,,$689,703,$338,671,942
Academics Plus School District,12345,default, Administrative Expenditures ,2016-2017,,$823,167,$338,263,019
Academics Plus School District,12345,default, Extracurricular Expenditures ,2014-2015,,$81,844,$181,590,712
Academics Plus School District,12345,default, Extracurricular Expenditures ,2015-2016,,$144,942,$177,007,641
Academics Plus School District,12345,default, Extracurricular Expenditures ,2016-2017,,$112,394,$173,855,702
Academics Plus School District,12345,default, Capital Expenditures ,2014-2015,,$165,548,$510,124,487
Academics Plus School District,12345,default, Capital Expenditures ,2015-2016,,$571,278,$530,477,579
Academics Plus School District,12345,default, Capital Expenditures ,2016-2017,,$889,191,$516,695,722
Academics Plus School District,12345,default, Debt Service Expenditures ,2014-2015,,$0,$245,124,316
Academics Plus School District,12345,default, Debt Service Expenditures ,2015-2016,,$0,$261,403,249
Academics Plus School District,12345,default, Debt Service Expenditures ,2016-2017,,$0,$272,112,952
Academics Plus School District,12345,default,Free and Reduced Meals ,2014-2015,,,
Academics Plus School District,12345,default,Free and Reduced Meals ,2015-2016,,,
Academics Plus School District,12345,default,Free and Reduced Meals ,2016-2017,,,
Academics Plus School District,12345,default, Percent of Students Eligible for Free and Reduced Meals ,2014-2015,,20.3 %,61.8 %
Academics Plus School District,12345,default, Percent of Students Eligible for Free and Reduced Meals ,2015-2016,,20.8 %,62.9 %
Academics Plus School District,12345,default, Percent of Students Eligible for Free and Reduced Meals ,2016-2017,,27.1 %,60.6 %
Academics Plus School District,12345,default, State Free and Reduced-Price Meal Rate*** ,2014-2015,,,61.1 %
Academics Plus School District,12345,default, State Free and Reduced-Price Meal Rate*** ,2015-2016,,,61.2 %
Academics Plus School District,12345,default, State Free and Reduced-Price Meal Rate*** ,2016-2017,,,60.6 %
Academics Plus School District,12345,default, National Free and Reduced-Price Meal Rate** ,2014-2015,,,55.5 %
Academics Plus School District,12345,default, National Free and Reduced-Price Meal Rate** ,2015-2016,,,56.8 %
Academics Plus School District,12345,default, National Free and Reduced-Price Meal Rate** ,2016-2017,,,55.9 %
